1024, 0.60, 0, 175, 178, 44
1024, 0.60, 0, 175, 178, 44
1024, 0.60, 0, 175, 178, 43
1024, 0.60, 0, 174, 177, 43
1024, 0.60, 0, 175, 179, 44
1024, 0.60, 0, 174, 178, 43
1024, 0.60, 0, 180, 184, 49
1024, 0.60, 0, 175, 178, 43
1024, 0.60, 0, 174, 177, 43
1024, 0.60, 0, 176, 179, 43
2048, 0.60, 0, 690, 700, 174
2048, 0.60, 0, 685, 693, 167
2048, 0.60, 0, 684, 693, 172
2048, 0.60, 0, 699, 708, 172
2048, 0.60, 0, 699, 707, 175
2048, 0.60, 0, 688, 696, 173
2048, 0.60, 0, 766, 775, 178
2048, 0.60, 0, 691, 699, 172
2048, 0.60, 0, 788, 796, 173
2048, 0.60, 0, 710, 720, 181
4096, 0.60, 0, 2957, 2986, 686
4096, 0.60, 0, 2931, 2961, 692
4096, 0.60, 0, 2924, 2952, 684
4096, 0.60, 0, 2968, 2998, 686
4096, 0.60, 0, 3052, 3086, 716
4096, 0.60, 0, 2955, 2984, 685
4096, 0.60, 0, 2999, 3029, 703
4096, 0.60, 0, 2979, 3011, 718
4096, 0.60, 0, 3046, 3075, 722
4096, 0.60, 0, 2933, 2961, 685
7680, 0.60, 0, 10474, 10571, 2424
7680, 0.60, 0, 10638, 10747, 2438
7680, 0.60, 0, 10486, 10589, 2448
7680, 0.60, 0, 10545, 10650, 2409
7680, 0.60, 0, 10503, 10600, 2406
7680, 0.60, 0, 10373, 10472, 2418
7680, 0.60, 0, 10304, 10400, 2406
7680, 0.60, 0, 10508, 10610, 2460
7680, 0.60, 0, 10677, 10787, 2483
7680, 0.60, 0, 10635, 10733, 2408
10240, 0.60, 0, 19965, 20138, 4268
10240, 0.60, 0, 19097, 19271, 4306
10240, 0.60, 0, 19267, 19449, 4335
10240, 0.60, 0, 18772, 18947, 4295
10240, 0.60, 0, 19469, 19641, 4361
10240, 0.60, 0, 19542, 19733, 4390
10240, 0.60, 0, 19659, 19837, 4359
10240, 0.60, 0, 20153, 20330, 4501
10240, 0.60, 0, 18513, 18691, 4269
10240, 0.60, 0, 18585, 18765, 4298
12800, 0.60, 0, 30884, 31169, 6901
12800, 0.60, 0, 29061, 29333, 6640
12800, 0.60, 0, 29237, 29512, 6667
12800, 0.60, 0, 29888, 30159, 6805
12800, 0.60, 0, 29608, 29887, 6711
12800, 0.60, 0, 31473, 31740, 6794
12800, 0.60, 0, 29453, 29746, 6669
12800, 0.60, 0, 30073, 30347, 6741
12800, 0.60, 0, 29123, 29398, 6662
12800, 0.60, 0, 31270, 31547, 7085
1024, 1.10, 0, 247, 251, 77
1024, 1.10, 0, 229, 233, 74
1024, 1.10, 0, 229, 233, 76
1024, 1.10, 0, 234, 237, 69
1024, 1.10, 0, 259, 262, 77
1024, 1.10, 0, 234, 238, 73
1024, 1.10, 0, 242, 245, 81
1024, 1.10, 0, 236, 239, 81
1024, 1.10, 0, 245, 248, 79
1024, 1.10, 0, 267, 271, 82
2048, 1.10, 0, 883, 892, 272
2048, 1.10, 0, 916, 926, 281
2048, 1.10, 0, 890, 898, 279
2048, 1.10, 0, 877, 886, 286
2048, 1.10, 0, 870, 878, 272
2048, 1.10, 0, 858, 866, 271
2048, 1.10, 0, 885, 894, 278
2048, 1.10, 0, 918, 926, 275
2048, 1.10, 0, 966, 975, 280
2048, 1.10, 0, 949, 958, 277
4096, 1.10, 0, 3804, 3835, 1085
4096, 1.10, 0, 3828, 3858, 1098
4096, 1.10, 0, 3859, 3892, 1106
4096, 1.10, 0, 3919, 3953, 1133
4096, 1.10, 0, 3853, 3884, 1108
4096, 1.10, 0, 3758, 3789, 1090
4096, 1.10, 0, 3769, 3801, 1096
4096, 1.10, 0, 3787, 3816, 1083
4096, 1.10, 0, 3919, 3948, 1084
4096, 1.10, 0, 3740, 3769, 1112
7680, 1.10, 0, 12993, 13091, 3836
7680, 1.10, 0, 13470, 13566, 3775
7680, 1.10, 0, 13653, 13751, 3958
7680, 1.10, 0, 13988, 14095, 3943
7680, 1.10, 0, 13133, 13231, 3822
7680, 1.10, 0, 13668, 13764, 3807
7680, 1.10, 0, 13711, 13808, 3845
7680, 1.10, 0, 13644, 13741, 3887
7680, 1.10, 0, 13753, 13859, 3969
7680, 1.10, 0, 13071, 13170, 3839
10240, 1.10, 0, 22784, 22956, 6750
10240, 1.10, 0, 22936, 23112, 6779
10240, 1.10, 0, 23528, 23729, 7054
10240, 1.10, 0, 24075, 24249, 6788
10240, 1.10, 0, 22768, 22941, 6729
10240, 1.10, 0, 24216, 24390, 6914
10240, 1.10, 0, 24119, 24293, 6797
10240, 1.10, 0, 24228, 24398, 6826
10240, 1.10, 0, 24081, 24260, 6840
10240, 1.10, 0, 23275, 23448, 6758
12800, 1.10, 0, 35308, 35584, 10475
12800, 1.10, 0, 35015, 35287, 10459
12800, 1.10, 0, 37152, 37424, 10731
12800, 1.10, 0, 36266, 36538, 10481
12800, 1.10, 0, 36292, 36562, 10616
12800, 1.10, 0, 37424, 37696, 10976
12800, 1.10, 0, 36532, 36810, 10550
12800, 1.10, 0, 35846, 36128, 10578
12800, 1.10, 0, 35426, 35711, 10526
12800, 1.10, 0, 36652, 36925, 10835
