1024, 0.60, 2, 361, 364
1024, 0.60, 4, 436, 440
1024, 0.60, 8, 449, 452
1024, 0.60, 16, 717, 721
2048, 0.60, 2, 1328, 1341
2048, 0.60, 4, 1363, 1376
2048, 0.60, 8, 1899, 1912
2048, 0.60, 16, 1764, 1777
4096, 0.60, 2, 6999, 7053
4096, 0.60, 4, 9836, 9871
4096, 0.60, 8, 8085, 8120
4096, 0.60, 16, 5257, 5291
7680, 0.60, 2, 23087, 23204
7680, 0.60, 4, 18109, 18224
7680, 0.60, 8, 28975, 29092
7680, 0.60, 16, 26404, 26553
10240, 0.60, 2, 42970, 43176
1024, 0.60, 2, 292, 310
1024, 0.60, 4, 618, 622
1024, 0.60, 8, 713, 717
1024, 0.60, 16, 311, 314
2048, 0.60, 2, 1073, 1083
2048, 0.60, 4, 2171, 2182
2048, 0.60, 8, 1889, 1899
2048, 0.60, 16, 1844, 1854
4096, 0.60, 2, 7368, 7403
4096, 0.60, 4, 5123, 5158
4096, 0.60, 8, 7456, 7491
4096, 0.60, 16, 7698, 7732
7680, 0.60, 2, 23420, 23536
7680, 0.60, 4, 16349, 16469
7680, 0.60, 8, 47187, 47299
7680, 0.60, 16, 18047, 18165
10240, 0.60, 2, 47120, 47325
10240, 0.60, 4, 47579, 47795
10240, 0.60, 8, 35042, 35243
10240, 0.60, 16, 86364, 86564
12800, 0.60, 2, 52315, 52645
12800, 0.60, 4, 93591, 93903
12800, 0.60, 8, 80513, 80892
12800, 0.60, 16, 132276, 132598
1024, 0.60, 2, 319, 322
1024, 0.60, 4, 360, 363
1024, 0.60, 8, 400, 403
1024, 0.60, 16, 851, 854
2048, 0.60, 2, 1861, 1871
2048, 0.60, 4, 1596, 1606
2048, 0.60, 8, 2576, 2586
2048, 0.60, 16, 2054, 2064
4096, 0.60, 2, 11344, 11381
4096, 0.60, 4, 5472, 5506
4096, 0.60, 8, 7495, 7530
4096, 0.60, 16, 12102, 12137
7680, 0.60, 2, 16805, 16924
7680, 0.60, 4, 20698, 20816
7680, 0.60, 8, 18743, 18861
7680, 0.60, 16, 47456, 47571
10240, 0.60, 2, 42372, 42582
10240, 0.60, 4, 71923, 72128
10240, 0.60, 8, 62511, 62720
10240, 0.60, 16, 48982, 49201
12800, 0.60, 2, 44148, 44474
12800, 0.60, 4, 51058, 51371
12800, 0.60, 8, 52015, 52330
12800, 0.60, 16, 114954, 115266
1024, 0.60, 2, 611, 615
1024, 0.60, 4, 468, 471
1024, 0.60, 8, 479, 483
1024, 0.60, 16, 435, 440
2048, 0.60, 2, 969, 979
2048, 0.60, 4, 1500, 1510
2048, 0.60, 8, 1798, 1808
2048, 0.60, 16, 1924, 1934
4096, 0.60, 2, 8909, 8944
4096, 0.60, 4, 5242, 5276
4096, 0.60, 8, 5290, 5324
4096, 0.60, 16, 7608, 7641
7680, 0.60, 2, 32520, 32632
7680, 0.60, 4, 24452, 24563
7680, 0.60, 8, 19214, 19332
7680, 0.60, 16, 26932, 27045
