1024,0.6,400,554
1024,0.6,324,511
1024,0.6,320,562
1024,0.6,321,585
1024,0.6,320,571
1024,0.6,323,578
1024,0.6,318,590
1024,0.6,324,590
1024,0.6,321,591
1024,0.6,320,553
1024,0.6,316,555
1024,0.6,298,557
1024,0.6,321,589
1024,0.6,319,560
1024,0.6,323,582
1024,0.6,306,557
1024,0.6,320,575
1024,0.6,323,587
1024,0.6,321,562
1024,0.6,323,576
1024,0.6,321,497
1024,0.6,327,572
1024,0.6,323,572
1024,0.6,321,563
1024,0.6,321,878
1024,0.6,320,557
1024,0.6,321,589
1024,0.6,320,582
1024,0.6,321,579
1024,0.6,321,562
1024,1.1,390,654
1024,1.1,438,714
1024,1.1,427,712
1024,1.1,417,693
1024,1.1,409,684
1024,1.1,446,748
1024,1.1,392,674
1024,1.1,430,707
1024,1.1,444,685
1024,1.1,445,691
1024,1.1,446,691
1024,1.1,448,677
1024,1.1,449,703
1024,1.1,445,724
1024,1.1,422,671
1024,1.1,443,701
1024,1.1,440,718
1024,1.1,428,675
1024,1.1,430,653
1024,1.1,446,965
1024,1.1,446,697
1024,1.1,418,690
1024,1.1,405,674
1024,1.1,440,684
1024,1.1,517,759
1024,1.1,429,691
1024,1.1,444,683
1024,1.1,429,676
1024,1.1,433,675
1024,1.1,433,688
2048,0.6,1261,1362
2048,0.6,1114,1216
2048,0.6,1157,1262
2048,0.6,1185,1291
2048,0.6,1172,1283
2048,0.6,1215,1315
2048,0.6,1106,1209
2048,0.6,1173,1283
2048,0.6,1164,1271
2048,0.6,1212,1312
2048,0.6,1218,1318
2048,0.6,1147,1249
2048,0.6,1134,1243
2048,0.6,1138,1242
2048,0.6,1140,1246
2048,0.6,1149,1255
2048,0.6,1158,1262
2048,0.6,1132,1240
2048,0.6,1217,1319
2048,0.6,1208,1309
2048,0.6,1138,1243
2048,0.6,1138,1241
2048,0.6,1109,1215
2048,0.6,1139,1243
2048,0.6,1136,1241
2048,0.6,1199,1302
2048,0.6,1133,1242
2048,0.6,1165,1271
2048,0.6,1177,1278
2048,0.6,1163,1267
2048,1.1,1577,1687
2048,1.1,1624,1735
2048,1.1,1632,1746
2048,1.1,1647,1759
2048,1.1,1620,1741
2048,1.1,1805,1910
2048,1.1,1602,1717
2048,1.1,1647,1753
2048,1.1,1563,1665
2048,1.1,1577,1681
2048,1.1,1598,1705
2048,1.1,1567,1675
2048,1.1,1657,1759
2048,1.1,1743,1850
2048,1.1,1705,1811
2048,1.1,1732,1833
2048,1.1,1584,1692
2048,1.1,1606,1708
2048,1.1,1671,1768
2048,1.1,1739,1847
2048,1.1,1648,1756
2048,1.1,1622,1731
2048,1.1,1570,1676
2048,1.1,1552,1652
2048,1.1,1726,1830
2048,1.1,1606,1714
2048,1.1,1709,1836
2048,1.1,1628,1733
2048,1.1,1592,1690
